sample_name;library_id
5553;JAL_IOB_1
5571;JAL_IOB_2
5986;JAL_IOB_3
8404;JAL_IOB_4
8547;JAL_IOB_5
8548;JAL_IOB_6
8574;JAL_IOB_7
10828;JAL_IOB_8
11060;JAL_IOB_9
11078;JAL_IOB_10
11168;JAL_IOB_11
11386;JAL_IOB_12
11610;JAL_IOB_13
11766;JAL_IOB_14
11867;JAL_IOB_15
11931;JAL_IOB_16
11951;JAL_IOB_17
11975;JAL_IOB_18
12007;JAL_IOB_19
12023;JAL_IOB_20
12033;JAL_IOB_21
12036;JAL_IOB_22
12051;JAL_IOB_23
12058;JAL_IOB_24
12061;JAL_IOB_25
12067;JAL_IOB_26
12084;JAL_IOB_27
12138;JAL_IOB_28
12161;JAL_IOB_29
12163;JAL_IOB_30
12235;JAL_IOB_31
12267;JAL_IOB_32
12305;JAL_IOB_33
12359;JAL_IOB_34
12395;JAL_IOB_35
12492;JAL_IOB_36
12495;JAL_IOB_37
12510;JAL_IOB_38
12515;JAL_IOB_39
12518;JAL_IOB_40
12530;JAL_IOB_41
12541;JAL_IOB_42
12584;JAL_IOB_43
12599;JAL_IOB_44
12639;JAL_IOB_45
12649;JAL_IOB_46
12657;JAL_IOB_47
12668;JAL_IOB_48
12670;JAL_IOB_49
12674;JAL_IOB_50
12696;JAL_IOB_51
12807;JAL_IOB_52
12863;JAL_IOB_53
12878;JAL_IOB_54
12887;JAL_IOB_55
12890;JAL_IOB_56
12917;JAL_IOB_57
12955;JAL_IOB_58
12969;JAL_IOB_59
12970;JAL_IOB_60
12972;JAL_IOB_61
12973;JAL_IOB_62
12991;JAL_IOB_63
13011;JAL_IOB_64
13032;JAL_IOB_65
13055;JAL_IOB_66
13057;JAL_IOB_67
13058;JAL_IOB_68
13059;JAL_IOB_69
13073;JAL_IOB_70
13075;JAL_IOB_71
13105;JAL_IOB_72
13122;JAL_IOB_73
13217;JAL_IOB_74
13271;JAL_IOB_75
13385;JAL_IOB_76
13412;JAL_IOB_77
13466;JAL_IOB_78
13485;JAL_IOB_79
13526;JAL_IOB_80
13540;JAL_IOB_81
13569;JAL_IOB_82
13606;JAL_IOB_83
13624;JAL_IOB_84
13625;JAL_IOB_85
13626;JAL_IOB_86
13627;JAL_IOB_87
13630;JAL_IOB_88
13661;JAL_IOB_89
13668;JAL_IOB_90
13675;JAL_IOB_91
13679;JAL_IOB_92
13709;JAL_IOB_93
13719;JAL_IOB_94
13742;JAL_IOB_95
13781;JAL_IOB_96
13785;JAL_IOB_97
13797;JAL_IOB_98
13799;JAL_IOB_99
13854;JAL_IOB_100
13897;JAL_IOB_101
13933;JAL_IOB_102
13961;JAL_IOB_103
13971;JAL_IOB_104
13977;JAL_IOB_105
13993;JAL_IOB_106
14032;JAL_IOB_107
14075;JAL_IOB_108
14097;JAL_IOB_109
14105;JAL_IOB_110
14128;JAL_IOB_111
14131;JAL_IOB_112
14141;JAL_IOB_113
14183;JAL_IOB_114
14220;JAL_IOB_115
14231;JAL_IOB_116
14232;JAL_IOB_117
14236;JAL_IOB_118
14240;JAL_IOB_119
14244;JAL_IOB_120
14275;JAL_IOB_121
14289;JAL_IOB_122
14298;JAL_IOB_123
14305;JAL_IOB_124
14334;JAL_IOB_125
14388;JAL_IOB_126
14421;JAL_IOB_127
14463;JAL_IOB_128
14478;JAL_IOB_129
14509;JAL_IOB_130
14673;JAL_IOB_131
14679;JAL_IOB_132
14737;JAL_IOB_133
14845;JAL_IOB_134
14984;JAL_IOB_135
14985;JAL_IOB_136
15062;JAL_IOB_137
15098;JAL_IOB_138
15101;JAL_IOB_139
15279;JAL_IOB_140
15310;JAL_IOB_141
15312;JAL_IOB_142
15324;JAL_IOB_143
15331;JAL_IOB_144
15336;JAL_IOB_145
15348;JAL_IOB_146
15382;JAL_IOB_147
15391;JAL_IOB_148
15405;JAL_IOB_149
15437;JAL_IOB_150
15453;JAL_IOB_151
15465;JAL_IOB_152
15798;JAL_IOB_153
15872;JAL_IOB_154
15913;JAL_IOB_155
15926;JAL_IOB_156
16002;JAL_IOB_157
16028;JAL_IOB_158
16053;JAL_IOB_159
16055;JAL_IOB_160
16056;JAL_IOB_161
16058;JAL_IOB_162
16109;JAL_IOB_163
16112;JAL_IOB_164
16115;JAL_IOB_165
16131;JAL_IOB_166
16166;JAL_IOB_167
16210;JAL_IOB_168
16216;JAL_IOB_169
16237;JAL_IOB_170
16268;JAL_IOB_171
16317;JAL_IOB_172
16328;JAL_IOB_173
16332;JAL_IOB_174
16335;JAL_IOB_175
16336;JAL_IOB_176
16340;JAL_IOB_177
16345;JAL_IOB_178
16357;JAL_IOB_179
16371;JAL_IOB_180
16396;JAL_IOB_181
16398;JAL_IOB_182
16441;JAL_IOB_183
16485;JAL_IOB_184
HP-1122;JAL_IOB_185
Oflo;JAL_IOB_186
P-10;JAL_IOB_187
P-15;JAL_IOB_188
P-18;JAL_IOB_189
P-19;JAL_IOB_190
P-9;JAL_IOB_191
PU-154;JAL_IOB_192
PU-161;JAL_IOB_193
PU-164;JAL_IOB_194
PU-168;JAL_IOB_195
PU-169;JAL_IOB_196
PU-43;JAL_IOB_197
PU-54;JAL_IOB_198
PU-65;JAL_IOB_199
PU-73;JAL_IOB_200
